city;country;cityname;countryname;pop;gdp;lat;long;kgclzone;kgclzone1;kgclzone2;Continent;Region;hwclass;hwscore;MeanST;Median;IQR;Range;trend
brno.cze9420;cze9420;Brno;Czechia;377000;6028;49.1951;16.6068;Cfb;C;Cf;Europe;Eastern Europe;2;12;17.9;17.9;6.1;26.2;0.24
ostr.cze9420;cze9420;Ostrava;Czechia;294000;6028;49.8209;18.2625;Cfb;C;Cf;Europe;Eastern Europe;2;12;17;17;5.9;26.8;0.59
prag.cze9420;cze9420;Prague;Czechia;1259000;6028;50.0755;14.4378;Cfb;C;Cf;Europe;Eastern Europe;2;12;16.5;16.4;6.2;27.6;0.63
hlsn.fnl9414;fnl9414;Helsinki;Finland;624000;24345;60.1674881;24.9427473;Dfb;D;Df;Europe;Northern Europe;1;9;14.4;14.8;6;24.4;0.93
brdx.fra0017;fra0017;Bordeaux;France;697913;22416;44.83;-0.57;Cfb;C;Cf;Europe;Western Europe;3;30;19.6;19.5;4.8;24;0.31
clfr.fra0017;fra0017;Clermont-Ferrand;France;230818;22416;45.78;3.08;Cfb;C;Cf;Europe;Western Europe;3;30;18.3;18.2;5.6;26.5;0.29
dijn.fra0017;fra0017;Dijon;France;243244;22416;47.32;5.02;Cfb;C;Cf;Europe;Western Europe;3;30;18.1;18;5.4;25.1;0.06
grnb.fra0017;fra0017;Grenoble;France;485391;22416;45.17;5.72;Cfb;C;Cf;Europe;Western Europe;3;30;17.9;18;5.6;24;-0.15
lhvr.fra0017;fra0017;Le Havre;France;235257;22416;49.5;0.13;Cfb;C;Cf;Europe;Western Europe;3;30;16.4;16.3;3.5;22.1;0.24
lill.fra0017;fra0017;Lille;France;323470;22416;50.63;3.07;Cfb;C;Cf;Europe;Western Europe;3;30;16.8;16.7;4.4;21.9;0.33
lndu.fra0017;fra0017;Lens-Douai;France;1135348;22416;50.4;2.95;Cfb;C;Cf;Europe;Western Europe;3;30;16.8;16.7;4.4;21.9;0.33
lyon.fra0017;fra0017;Lyon;France;1095556;22416;45.75;4.85;Cfb;C;Cf;Europe;Western Europe;3;30;19.9;19.8;5.8;25;0.24
mntp.fra0017;fra0017;Montpellier;France;428909;22416;43.6;3.88;Csa;C;Cs;Europe;Western Europe;3;30;21.6;21.9;4.9;20.9;0.26
mrsl.fra0017;fra0017;Marseille;France;983721;22416;43.3;5.4;Csa;C;Cs;Europe;Western Europe;3;30;22.2;22.7;5.2;22.9;0.27
nice.fra0017;fra0017;Nice;France;330493;22416;43.7;7.25;Csb;C;Cs;Europe;Western Europe;3;30;21.9;22.3;4.5;19.9;0.27
nncy.fra0017;fra0017;Nancy;France;644595;22416;48.68;6.2;Cfb;C;Cf;Europe;Western Europe;3;30;17.6;17.5;5.4;23.3;0.19
nnts.fra0017;fra0017;Nantes;France;435029;22416;47.22;-1.55;Cfb;C;Cf;Europe;Western Europe;3;30;17.9;17.6;4.4;23.4;0.1
orln.fra0017;fra0017;Orleans;France;270000;22416;47.9;1.91;Cfb;C;Cf;Europe;Western Europe;3;30;17.4;17.3;4.8;24.1;0.1
pars.fra0017;fra0017;Paris;France;6773109;22416;48.87;2.33;Cfb;C;Cf;Europe;Western Europe;3;30;18.6;18.3;4.9;25.8;0.39
rnns.fra0017;fra0017;Rennes;France;252601;22416;48.08;-1.68;Cfb;C;Cf;Europe;Western Europe;3;30;17.3;17.2;4.3;24.8;-0.37
roun.fra0017;fra0017;Rouen;France;449034;22416;49.43;1.08;Cfb;C;Cf;Europe;Western Europe;3;30;16.2;16;4.4;23.3;0.43
strs.fra0017;fra0017;Strasbourg;France;451202;22416;48.58;7.75;Cfb;C;Cf;Europe;Western Europe;3;30;18.3;18.2;5.4;21.8;0.5
tols.fra0017;fra0017;Toulouse;France;825232;22416;43.6;1.43;Cfb;C;Cf;Europe;Western Europe;3;30;20.2;20.4;5.4;26;0.43
tors.fra0017;fra0017;Tours;France;289493;22416;47.39;0.69;Cfb;C;Cf;Europe;Western Europe;3;30;18.1;17.9;4.9;24.2;0.25
